author_id,name,birth_year,sex,ethnicity,start_date,end_date
20614,ABDUL GHANI BIN MOHAMED YASSIN,,male,bumiputera,2018-01-05,2021-01-04
20617,ABDUL HALIM BIN ABD. SAMAD,,male,bumiputera,2014-11-03,2017-11-02
20618,ABDUL HALIM BIN HAJI SULEIMAN,,male,bumiputera,2023-11-23,2026-11-22
20622,ABDUL NASIR BIN HAJI IDRIS,,male,bumiputera,2023-03-20,2026-03-19
20625,ABDUL RAHMAN BIN BAKAR,1965.0,male,bumiputera,2011-07-18,2014-07-17
20623,ABDUL RAHMAN BIN MAT YASIN,1956.0,male,bumiputera,2015-06-22,2018-06-21
20627,ABDUL SHUKOR BIN P A MOHD SULTAN,,male,bumiputera,2012-04-25,2015-04-24
20632,ABIDULLAH BIN SALLEH,,male,bumiputera,2016-10-27,2019-10-26
20636,ABU ZAHAR UJANG,,male,bumiputera,2013-04-26,2016-04-25
20637,ABUN SUI ANYIT,1973.0,male,bumiputera,2023-03-20,2026-03-19
20642,AHAMAT @ AHAMAD BIN YUSOP,,male,bumiputera,2011-07-04,2014-07-03
20643,AHMAD AZAM BIN HAMZAH,1949.0,male,bumiputera,2019-05-09,
20657,AHMAD BIN DATO' SRI HJ IBRAHIM,,male,bumiputera,2022-07-22,2025-07-21
20651,AHMAD MASRIZAL MUHAMMAD,,male,bumiputera,2020-03-09,
20662,AJIS BIN SITIN,,male,bumiputera,2021-08-25,2024-08-24
20663,AK NAN A/L EH TOOK,,male,indian,2016-12-15,2019-12-14
20664,AKNAN A/L EHTOOK,,male,indian,2016-12-15,2019-12-14
20671,AMIR BIN MD GHAZALI,,male,bumiputera,2023-03-07,2026-03-06
20670,AMIR HAMZAH AZIZAN,1972.0,male,bumiputera,2023-12-12,2026-12-11
20674,ANANTHAN A/L SOMASUNDARAM,,male,indian,2017-08-15,2020-08-14
20676,ANIFAH BIN AMAN @ HANIFF AMMAN,,male,bumiputera,2023-03-20,2026-03-19
20678,ANNA BELL @ SUZIEANA BINTI PERIAN,,female,bumiputera,2024-03-05,2027-03-04
20683,ARIFFIN BIN S.M. OMAR,,male,bumiputera,2012-06-01,2015-05-31
20684,ARMAN AZHA BIN ABU HANIFAH,,male,bumiputera,2021-10-26,2024-10-25
20686,AWANG BEMEE BIN AWANG ALI BASAH,,male,bumiputera,2024-07-15,2027-07-14
20687,AWANG BIN SARIYAN,,male,bumiputera,2023-03-20,2026-03-19
4643,AZAHAR BIN HASSAN,,male,bumiputera,2024-09-10,2027-09-09
20692,AZHAR BIN AHMAD,,male,bumiputera,2022-03-21,2025-03-20
20693,AZIZ BIN ARIFFIN,,male,bumiputera,2021-08-26,2024-08-25
20695,AZIZAH BINTI HAJI HARUN,,female,bumiputera,2015-07-06,2018-07-05
20701,BAHARUDDIN BIN AHMAD,1957.0,male,bumiputera,2024-09-10,2027-09-09
20702,BAHARUDIN BIN HJ. ABU BAKAR,,male,bumiputera,2011-09-06,2014-09-05
20705,BALASUBRAMANIAM A/L NACHIAPPAN,1958.0,male,indian,2020-06-16,2023-06-15
20706,BASHIR BIN HAJI ALIAS,1966.0,male,bumiputera,2017-06-05,2020-06-04
20707,BATHMAVATHI KRISHNAN,,male,indian,2013-11-18,2016-11-17
20710,BOBBEY AH FANG BIN SUAN,,male,bumiputera,2021-01-05,2024-01-04
20711,BOON SOM A/L INONG,,male,indian,2010-12-15,2013-12-14
20719,CHAI KIM SEN,,male,chinese,2014-06-23,2017-06-22
20720,CHANDRA MOHAN A/L S. TAMBIRAJAH,,male,indian,2012-12-17,2015-12-16
4059,CHE ALIAS BIN HAMID,1971.0,male,bumiputera,2024-11-21,2027-11-20
20726,CHEW LEE GIOK,,female,chinese,2010-12-13,2013-12-12
20728,CHIEW LIAN KENG,,male,chinese,2011-11-02,2014-11-01
20729,CHIN SU PHIN,,male,chinese,2011-05-30,2014-05-29
20730,CHIW TIANG CHAI,,male,chinese,2005-10-14,2014-08-21
20743,DAYANG MADINAH BINTI TUN ABANG HAJI OPENG,,female,bumiputera,2010-07-19,2013-07-18
20746,DOMINIC LAU HOE CHAI,1968.0,male,chinese,2021-11-23,2024-11-22
5173,DORIS SOPHIA AK BRODI,1960.0,female,chinese,2010-03-12,2013-03-11
20751,EDWARD LINGGU BUKUT,,male,bumiputera,2024-12-10,2027-12-09
20754,ENGKU NAIMAH BINTI ENGKU TAIB,,female,bumiputera,2015-11-06,2018-11-05
20761,FAHARIYAH BINTI HJ. MD NORDIN,,female,bumiputera,2016-12-07,2019-12-06
20764,FIRDAUS BIN HAJI ABDULLAH,,male,bumiputera,2012-01-26,2015-01-25
20768,FUZIAH BINTI SALLEH,1959.0,female,bumiputera,2022-12-10,2025-12-09
20770,GAN PING SHOU @ GAN PING SIEU,1966.0,male,chinese,2010-06-02,2013-06-01
20785,HANAFI BIN HAJI MAMAT,,male,bumiputera,2016-12-07,2019-12-06
20798,HOH KHAI MUN,1956.0,male,chinese,2015-05-29,2018-05-28
20801,HUSAIN BIN AWANG,1947.0,male,bumiputera,2018-07-17,2021-07-16
20802,HUSSIN BIN ISMAIL,,male,,2023-03-15,2026-03-14
20806,IBRAHIM SHAH BIN ABU SHAH,,male,bumiputera,2014-11-03,2017-11-02
20809,IDRIS JALA,,male,bumiputera,2012-09-03,2015-09-02
20814,ISA BIN AB. HAMID,,male,bumiputera,2016-04-18,2019-04-17
20815,ISAIAH A/L D.JACOB,,male,indian,2023-03-20,2026-03-19
20832,JAMILAH @ HALIMAH BINTI SULAIMAN,,female,bumiputera,2012-11-07,2015-11-06
20833,JASPAL SINGH A/L GURBAKHES SINGH,,male,indian,2011-11-02,2014-11-01
20834,JAZIRI ALKAF ABDILLAH SUFFIAN,,male,bumiputera,2020-12-21,2023-12-20
20836,JEFRIDIN BIN ATAN,,male,bumiputera,2020-09-13,2023-09-12
20840,JOHARI BIN MAT,1952.0,male,bumiputera,2011-07-07,2014-07-06
20841,JOHN AMBROSE,,male,bumiputera,2018-01-16,2021-01-15
20847,JUDIET BINTI FIDILIS @ NORAINI BINTI IDRIS,,female,bumiputera,2021-12-10,2024-12-09
20848,JUHANIS BINTI ABD AZIZ,,female,bumiputera,2021-08-25,2024-08-24
20856,KADZIM BIN M.YAHYA,,male,bumiputera,2011-12-22,2014-12-21
20864,KESAVADAS A/L  A. ACHYUTHAN NAIR,,male,indian,2019-03-20,2022-03-19
20865,KHAIRIAH BINTI MOHAMED,,female,bumiputera,2012-06-30,2015-06-29
20867,KHAIRUDIN BIN E.S. ABD SAMAD,,male,bumiputera,2013-10-07,2016-10-06
20868,KHAIRUL AZWAN BIN HARUN,1976.0,male,bumiputera,2016-12-07,2019-12-06
20875,KOH NAI KWONG,1961.0,male,chinese,2020-12-10,2023-12-09
20876,KOH TSU KOON,1950.0,male,chinese,2012-04-09,2015-04-08
20887,LEE TIAN SING,,male,chinese,2017-11-29,2020-11-28
20891,LIHAN JOK,,male,chinese,2011-12-07,2014-12-06
20897,LIM NGET YOON,,male,chinese,2012-05-22,2015-05-21
20898,LIM PAY HEN,,male,chinese,2017-12-04,2020-12-03
20900,LINGESHWARAN A/L DATO' SERI R. ARUNASALAM,,male,indian,2023-03-07,2026-03-06
20905,LOW KIAN CHUAN,,male,chinese,2023-03-20,2026-03-19
20906,LUCAS BIN UMBUL,,male,bumiputera,2012-12-10,2015-12-09
20930,MAGLIN A/L DENNIS D'CRUZ,,male,indian,2010-06-02,2013-06-01
20939,MANOLAN BIN MOHAMAD,,male,bumiputera,2018-08-27,2021-08-26
20942,MARIANY BINTI MOHAMMAD YIT,,female,bumiputera,2010-12-15,2013-12-14
20945,MASHITAH BINTI IBRAHIM,,female,bumiputera,2011-03-18,2014-03-17
20951,MAZNAH BINTI MAZLAN,,female,bumiputera,2011-04-18,2014-04-17
20952,MD NASIR BIN HASHIM,1958.0,male,bumiputera,2018-08-27,2021-08-26
20954,MEGAT ZULKARNAIN BIN TAN SRI DATUK WIRA HAJI OMARDIN,1969.0,male,bumiputera,2013-10-07,2016-10-06
20955,MICHAEL MUJAH LIHAN,,male,bumiputera,2023-12-11,2026-12-10
20958,MOHAMAD ALI BIN HAJI MOHAMAD,,male,bumiputera,2020-05-11,2023-05-10
20959,MOHAMAD FATMI BIN HJ. CHE SALLEH,1957.0,male,bumiputera,2022-04-25,2025-04-24
20966,MOHAMED HANIFFA BIN ABDULLAH,,male,bumiputera,2022-09-26,2025-09-25
20973,MOHAN A/L THANGARASU,,male,bumiputera,2017-11-16,2020-11-15
20975,MOHD APANDI BIN MOHAMAD,,male,bumiputera,2020-07-08,
20980,MOHD HASBIE BIN MUDA,,male,bumiputera,2023-03-20,2026-03-19
3333,MOHD HATTA BIN MD RAMLI,,male,bumiputera,2023-03-20,2026-03-19
20984,MOHD HISAMUDIN BIN YAHAYA,,male,bumiputera,2021-10-04,2024-10-03
20991,MOHD KHALID BIN AHMAD,,male,bumiputera,2012-04-25,2015-04-24
20993,MOHD NA'IM BIN MOKHTAR,,male,bumiputera,2022-12-03,2025-12-02
20999,MOHD NOR BIN HAJI MONUTTY,,male,bumiputera,2015-12-17,2018-12-16
1663,MOHD RADZI BIN SHEIKH AHMAD,1942.0,male,bumiputera,2020-06-16,2023-06-15
21013,MUHAMAD BIN MUSTAFA,,male,bumiputera,2017-07-08,2020-07-07
21012,MUHAMAD YUSOF BIN HUSIN,,male,bumiputera,2011-05-21,2014-05-20
21018,MUHAMMAD OLIAN BIN ABDULLAH,1971.0,male,bumiputera,2012-12-10,2015-12-09
21019,MUHAMMAD ZAHID BIN MD ARIP,1967.0,male,bumiputera,2020-06-16,2023-06-15
21023,MUJAHID BIN YUSOF,,male,bumiputera,2023-05-25,2026-05-24
21026,MUSODDAK BIN AHMAD,,male,bumiputera,2023-03-20,2026-03-19
21028,MUSTAPA KAMAL BIN MOHD YUSOFF,,male,bumiputera,2016-12-07,2019-12-06
21038,NALLAKARUPPAN A/L SOLAIMALAI,,male,indian,2011-11-02,2014-11-01
21044,NELSON A/L RENGANATHAN,,male,indian,2021-11-23,2024-11-22
21043,NELSON W ANGANG,,male,bumiputera,2024-05-16,2027-05-15
21045,NG CHIANG CHIN,,male,chinese,2014-09-10,2017-09-09
3663,NIK MOHAMAD ABDUH BIN NIK ABDUL AZIZ,,male,bumiputera,2023-07-08,2026-07-07
4336,NOORITA BINTI SUAL,1980.0,female,bumiputera,2023-03-20,2026-03-19
21062,NORLIZA BINTI ABDUL RAHIM,,female,bumiputera,2011-05-30,2014-05-29
21064,NUING ANAK JELUING,,male,bumiputera,2017-12-11,2020-12-10
3524,NUR JAZLAN BIN MOHAMAD,1966.0,male,bumiputera,2023-06-15,2026-06-14
21069,ONG CHONG SWEN,,female,chinese,2018-02-19,2021-02-18
21084,PAUL IGAI,,male,bumiputera,2017-12-04,2020-12-03
21085,PAUL LOW SENG KUAN,,male,chinese,2013-05-15,2016-05-14
21086,PELE PETER TINGGOM,,male,bumiputera,2024-03-05,2027-03-04
21095,RABIYAH BINTI ALI,,female,bumiputera,2016-12-07,2019-12-06
21098,RAHEMAH BINTI IDRIS,,female,bumiputera,2016-12-07,2019-12-06
21099,RAHIMAH BINTI HAJI MAHAMAD,,female,bumiputera,2014-03-31,2017-03-30
991,RAIS BIN YATIM,1943.0,male,bumiputera,2020-06-16,2023-06-15
21104,RAJA ROPIAAH BINTI RAJA ABDULLAH,,female,bumiputera,2012-04-09,2015-04-08
21108,RAS ADIBA BINTI MOHD RADZI,,female,bumiputera,2020-05-20,2023-05-19
21110,RAZALI BIN IDRIS,1967.0,male,bumiputera,2018-08-27,2021-08-26
21117,RITA SARIMAH ANAK PATRICK INSOL,,female,bumiputera,2020-06-22,2023-06-21
21119,ROBERT LAU HUI YEW,,male,chinese,2020-06-22,2023-06-21
21120,RODERICK WONG SIEW LEAD,1990.0,male,chinese,2023-03-20,2026-03-19
21123,ROHANI BINTI ABDULLAH,,female,bumiputera,2012-01-26,2015-01-25
21127,ROS SURYATI BINTI ALANG,,female,bumiputera,2022-09-26,2025-09-25
21129,ROSLIN BINTI ABDUL RAHMAN,,female,bumiputera,2012-05-22,2015-05-21
21131,ROSNI BINTI SOHAR,,female,bumiputera,2025-01-09,2028-01-08
21136,S. BAGIAM A/P AYEM PERUMAL,,female,indian,2011-08-22,2014-08-21
21138,SA. VIGNESWARAN,1966.0,male,indian,2014-06-23,2017-06-22
21150,SAAT BIN HJ ABU,,male,bumiputera,2011-11-15,2014-11-14
2615,SAIFUDDIN NASUTION BIN ISMAIL,1964.0,male,bumiputera,2022-12-03,2025-12-02
21153,SAIFUL IZHAM BIN RAMLI,,male,bumiputera,2011-05-21,2014-05-20
21156,SALEHUDDIN BIN SAIDIN,,male,bumiputera,2024-07-22,2027-07-21
21158,SAMBANTHAN A/L MANICKAM,,male,indian,2017-09-25,2020-09-24
21160,SARASWATHY A/P KANDASAMI,1968.0,female,indian,2022-12-10,2025-12-09
21162,SERUANDI BIN SAAD,,male,bumiputera,2021-08-26,2024-08-25
21170,SHAMSUDDIN BIN HJ. ABD GHAFFAR,,male,bumiputera,2021-12-20,2024-12-19
21178,SITI AISHAH BINTI SHAIK ISMAIL,1985.0,female,bumiputera,2015-06-02,2018-06-01
4128,SIVARAJ A/L CHANDRAN,1976.0,male,indian,2023-03-20,2026-03-19
21186,SOPIAH BINTI SHARIF,,female,bumiputera,2017-07-17,2020-07-16
21188,SUBRAMANIAM A/L VERUTHASALAM,,male,indian,2011-08-22,2014-08-21
21193,SUSAN CHEMERAI ANDING,,female,bumiputera,2020-06-22,2023-06-21
21196,SYED HUSIN ALI,,male,bumiputera,2012-12-17,2015-12-16
21197,SYED IBRAHIM BIN KADER,,male,bumiputera,2011-05-30,2014-05-29
21198,SYED SHAHIR BIN SYED MOHAMUD,1953.0,male,bumiputera,2012-06-01,2015-05-31
21219,TENGKU ZAFRUL BIN TENGKU ABDUL AZIZ,1973.0,male,bumiputera,2020-03-09,2022-11-03
21220,TEO ENG TEE @ TEO KOK CHEE,,male,chinese,2018-01-16,2021-01-15
21224,TI LIAN KER,,male,chinese,2018-08-10,2021-08-09
21229,VELL PAARI A/L SAMY VELLU,1938.0,male,indian,2020-09-02,2023-09-01
21241,WAN MARTINA BINTI WAN YUSOFF,,female,bumiputera,2021-08-24,2024-08-23
21263,YAHAYA BIN MAT GHANI @ ABBAS,,male,bumiputera,2013-10-07,2016-10-06
21265,YONG WUI CHUNG,,male,chinese,2017-08-22,2020-08-21
21268,YUNUS BIN HAJI KURUS,,male,bumiputera,2011-05-30,2014-05-29
21272,ZAHARI BIN SARIP,,male,bumiputera,2017-05-15,2020-05-14
21277,ZAIEDI BIN HAJI SUHAILI,,male,bumiputera,2016-07-19,2019-07-18
21280,ZAITUN BINTI MAT AMIN,,female,bumiputera,2012-06-08,2015-06-07
21283,ZAMBRY BIN ABDUL KADIR,1962.0,male,bumiputera,2022-12-03,2025-12-02
21287,ZULKIFLI BIN HASAN,,male,bumiputera,2023-12-12,2026-12-11
21286,ZULKIFLI MOHAMAD AL-BAKRI,,male,bumiputera,2020-03-09,
21291,ZURAINAH BINTI MUSA,,female,bumiputera,2021-12-22,2024-12-21
3265,AARON AGO ANAK DAGANG,1959.0,male,bumiputera,2008-03-08,
3325,AB AZIZ BIN AB KADIR,1963.0,male,bumiputera,2008-03-08,2013-04-03
3856,AB. AZIZ BIN KAPRAWI,1960.0,male,bumiputera,2013-05-05,2018-04-07
3313,AB. HALIM BIN AB. RAHMAN,1940.0,male,bumiputera,2008-03-08,2013-04-03
3310,ABD AZIZ BIN SHEIKH FADZIR,1963.0,male,bumiputera,2013-05-05,2018-04-07
4423,ABD GHANI BIN AHMAD,1970.0,male,bumiputera,2022-11-19,
3467,ABD KHALID BIN IBRAHIM,1947.0,male,bumiputera,2008-03-08,2018-04-07
3533,ABD RAHIM BIN BAKRI,1961.0,male,bumiputera,2008-03-08,2022-10-10
1712,ABD. HADI BIN AWANG,1947.0,male,bumiputera,2008-03-08,
3512,ABD. LATIFF BIN AHMAD,1959.0,male,bumiputera,2008-03-08,2022-10-10
3421,ABD. RAHMAN BIN BAKRI,1966.0,male,bumiputera,2008-03-08,2013-04-03
3305,ABDUL AZEEZ BIN ABDUL RAHIM,1967.0,male,bumiputera,2013-05-05,2022-10-10
3238,ABDUL GHAPUR BIN SALLEH,1943.0,male,bumiputera,2008-03-08,2018-04-07
4756,ABDUL KHALIB BIN ABDULLAH,1959.0,male,bumiputera,2022-11-19,
4043,ABDUL LATIFF BIN ABDUL RAHMAN,1972.0,male,bumiputera,2018-05-09,
3411,ABDUL MANAN BIN ISMAIL,1949.0,male,bumiputera,2008-03-08,2013-04-03
3538,ABDUL RAHMAN BIN DAHLAN,1966.0,male,bumiputera,2008-03-08,2018-04-07
3752,ABDUL RAHMAN BIN MOHAMAD,1962.0,male,bumiputera,2013-05-05,
3613,ABDUL WAHAB BIN HAJI DOLAH,1951.0,male,bumiputera,2008-03-08,2018-04-07
2655,ABDULLAH BIN HAJI AHMAD BADAWI,1940.0,male,bumiputera,2008-03-08,2013-04-03
3336,ABDULLAH BIN MD ZIN,1947.0,male,bumiputera,2008-03-08,2013-04-03
3451,ABDULLAH SANI BIN ABDUL HAMID,1962.0,male,bumiputera,2008-03-08,2022-10-10
3844,ABU BAKAR BIN MOHAMAD DIAH,1959.0,male,bumiputera,2013-05-05,2018-04-07
3286,ABU BAKAR BIN TAIB,1943.0,male,bumiputera,2008-03-08,2013-04-03
3483,ABU SEMAN BIN HAJI YUSOP,1944.0,male,bumiputera,2008-03-08,2013-04-03
4949,ADAM ADLI BIN ABD HALIM,1989.0,male,bumiputera,2022-11-19,
4284,ADHAM BIN BABA,1963.0,male,bumiputera,2018-05-09,2022-10-10
4941,ADLY BIN ZAHARI,1971.0,male,bumiputera,2022-11-19,
4922,ADNAN BIN ABU HASSAN,1970.0,male,bumiputera,2022-11-19,
3468,ADNAN BIN TENGKU MANSOR,1951.0,male,bumiputera,2008-03-08,2022-10-10
4438,AFNAN HAMIMI BIN DATO' HAJI TAIB AZAMUDDEN,1981.0,male,bumiputera,2022-11-19,
4052,AHMAD AMZAD BIN MOHAMED @ HASHIM,1970.0,male,bumiputera,2018-05-09,
3665,AHMAD BAIHAKI BIN ATIQULLAH,1974.0,male,bumiputera,2013-05-05,2018-04-07
3491,AHMAD BIN HAJI HAMZAH,1949.0,male,bumiputera,2008-03-08,2022-10-10
3527,AHMAD BIN HAJI MASLAN,1966.0,male,bumiputera,2008-03-08,
4322,AHMAD BIN HASSAN,1961.0,male,bumiputera,2018-05-09,2022-10-10
3295,AHMAD BIN KASIM,1964.0,male,bumiputera,2008-03-08,2013-04-03
4434,AHMAD BIN SAAD @ YAHAYA,1975.0,male,bumiputera,2022-11-19,
4027,AHMAD FADHLI BIN SHAARI,1981.0,male,bumiputera,2018-05-09,
4219,AHMAD FAHMI BIN MOHAMED FADZIL,1981.0,male,bumiputera,2018-05-09,
4104,AHMAD FAIZAL BIN AZUMU,1971.0,male,bumiputera,2018-05-09,2022-10-10
4447,AHMAD FAKHRUDDIN BIN FAKHRURAZI,1971.0,male,bumiputera,2022-11-19,
3815,AHMAD FAUZI BIN ZAHARI,1964.0,male,bumiputera,2013-05-05,2018-04-07
3380,AHMAD HUSNI BIN MOHAMAD HANADZLAH,1953.0,male,bumiputera,2008-03-08,2018-04-07
3673,AHMAD JAZLAN BIN YAAKUB,1965.0,male,bumiputera,2013-05-05,2022-10-10
4388,AHMAD JOHNIE BIN HAJI ZAWAWI,1962.0,male,bumiputera,2018-05-09,
3624,AHMAD LAI BIN BUJANG,1950.0,male,bumiputera,2008-03-08,2018-04-07
3667,AHMAD MARZUK BIN SHAARY,1976.0,male,bumiputera,2013-05-05,
3756,AHMAD NAZLAN BIN IDRIS,1958.0,male,bumiputera,2013-05-05,2022-10-10
4568,AHMAD SAMSURI BIN MOKHTAR,1971.0,male,bumiputera,2022-11-19,
2986,AHMAD SHABERY BIN CHEEK,1959.0,male,bumiputera,2008-03-08,2018-04-07
4008,AHMAD TARMIZI BIN SULAIMAN,1977.0,male,bumiputera,2018-05-09,
4856,AHMAD YUNUS BIN HAIRI,1965.0,male,bumiputera,2022-11-19,
2393,AHMAD ZAHID BIN HAMIDI,1953.0,male,bumiputera,2008-03-08,
4289,AKMAL NASRULLAH BIN MOHD NASIR,1986.0,male,bumiputera,2018-05-09,
2903,ALEXANDER NANTA LINGGI,1958.0,male,bumiputera,2008-03-08,
3958,ALI ANAK BIJU,1968.0,male,bumiputera,2018-05-09,
4549,ALIAS BIN RAZAK,1959.0,male,bumiputera,2022-11-19,
3967,ALICE LAU KIONG YIENG,1981.0,female,chinese,2013-05-05,
4986,AMINOLHUDA BIN HASSAN,1959.0,male,bumiputera,2022-11-19,
